10:08:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=True, log_dir=ultra_results, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:08:44 [ultranest] [INFO] Sampling 400 live points from prior ...
10:09:09 [ultranest] [DEBUG] run_iter dlogz=0.3, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:09:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:09:15 [ultranest] [DEBUG] iteration=53, ncalls=462, regioncalls=2480, ndraw=40, logz=-28.33, remainder_fraction=99.8604%, Lmin=-25.66, Lmax=-16.30
10:09:15 [ultranest] [DEBUG] iteration=55, ncalls=464, regioncalls=2560, ndraw=40, logz=-28.27, remainder_fraction=99.8512%, Lmin=-25.65, Lmax=-16.30
10:09:15 [ultranest] [DEBUG] iteration=57, ncalls=466, regioncalls=2640, ndraw=40, logz=-28.21, remainder_fraction=99.8418%, Lmin=-25.64, Lmax=-16.30
10:09:15 [ultranest] [DEBUG] iteration=59, ncalls=468, regioncalls=2720, ndraw=40, logz=-28.15, remainder_fraction=99.8318%, Lmin=-25.56, Lmax=-16.30
10:09:15 [ultranest] [DEBUG] iteration=61, ncalls=470, regioncalls=2800, ndraw=40, logz=-28.09, remainder_fraction=99.8214%, Lmin=-25.54, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=63, ncalls=472, regioncalls=2880, ndraw=40, logz=-28.04, remainder_fraction=99.8124%, Lmin=-25.54, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=65, ncalls=474, regioncalls=2960, ndraw=40, logz=-27.99, remainder_fraction=99.8024%, Lmin=-25.46, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=66, ncalls=475, regioncalls=3000, ndraw=40, logz=-27.96, remainder_fraction=99.7967%, Lmin=-25.46, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=68, ncalls=477, regioncalls=3080, ndraw=40, logz=-27.91, remainder_fraction=99.7850%, Lmin=-25.43, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=69, ncalls=479, regioncalls=3160, ndraw=40, logz=-27.89, remainder_fraction=99.7792%, Lmin=-25.40, Lmax=-16.30
10:09:16 [ultranest] [DEBUG] iteration=70, ncalls=480, regioncalls=3200, ndraw=40, logz=-27.86, remainder_fraction=99.7731%, Lmin=-25.40, Lmax=-16.30
10:09:17 [ultranest] [DEBUG] iteration=72, ncalls=483, regioncalls=3320, ndraw=40, logz=-27.81, remainder_fraction=99.7614%, Lmin=-25.39, Lmax=-16.30
10:09:17 [ultranest] [DEBUG] iteration=73, ncalls=484, regioncalls=3360, ndraw=40, logz=-27.79, remainder_fraction=99.7552%, Lmin=-25.38, Lmax=-16.30
10:09:17 [ultranest] [DEBUG] iteration=74, ncalls=485, regioncalls=3400, ndraw=40, logz=-27.77, remainder_fraction=99.7491%, Lmin=-25.38, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=75, ncalls=486, regioncalls=3440, ndraw=40, logz=-27.75, remainder_fraction=99.7430%, Lmin=-25.38, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=77, ncalls=488, regioncalls=3520, ndraw=40, logz=-27.70, remainder_fraction=99.7303%, Lmin=-25.36, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=79, ncalls=490, regioncalls=3600, ndraw=40, logz=-27.66, remainder_fraction=99.7175%, Lmin=-25.34, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=80, ncalls=491, regioncalls=3640, ndraw=40, logz=-27.64, remainder_fraction=99.7110%, Lmin=-25.34, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=81, ncalls=492, regioncalls=3680, ndraw=40, logz=-27.62, remainder_fraction=99.7044%, Lmin=-25.33, Lmax=-16.30
10:17:57 [ultranest] [DEBUG] iteration=83, ncalls=494, regioncalls=3760, ndraw=40, logz=-27.58, remainder_fraction=99.7329%, Lmin=-25.28, Lmax=-16.30
10:17:58 [ultranest] [DEBUG] iteration=85, ncalls=496, regioncalls=3840, ndraw=40, logz=-27.54, remainder_fraction=99.7208%, Lmin=-25.24, Lmax=-16.30
10:17:58 [ultranest] [DEBUG] iteration=87, ncalls=498, regioncalls=3920, ndraw=40, logz=-27.50, remainder_fraction=99.7094%, Lmin=-25.23, Lmax=-16.30
10:17:58 [ultranest] [DEBUG] iteration=88, ncalls=499, regioncalls=3960, ndraw=40, logz=-27.48, remainder_fraction=99.7030%, Lmin=-25.19, Lmax=-16.30
10:17:58 [ultranest] [DEBUG] iteration=90, ncalls=503, regioncalls=4120, ndraw=40, logz=-27.44, remainder_fraction=99.6898%, Lmin=-25.15, Lmax=-16.30
10:17:58 [ultranest] [DEBUG] iteration=92, ncalls=505, regioncalls=4200, ndraw=40, logz=-27.40, remainder_fraction=99.6772%, Lmin=-25.14, Lmax=-16.30
10:17:59 [ultranest] [DEBUG] iteration=94, ncalls=507, regioncalls=4280, ndraw=40, logz=-27.37, remainder_fraction=99.6634%, Lmin=-25.13, Lmax=-16.30
10:17:59 [ultranest] [DEBUG] iteration=95, ncalls=511, regioncalls=4440, ndraw=40, logz=-27.35, remainder_fraction=99.6574%, Lmin=-25.13, Lmax=-16.30
10:17:59 [ultranest] [DEBUG] iteration=97, ncalls=513, regioncalls=4520, ndraw=40, logz=-27.31, remainder_fraction=99.6441%, Lmin=-25.13, Lmax=-16.30
10:17:59 [ultranest] [DEBUG] iteration=98, ncalls=515, regioncalls=4600, ndraw=40, logz=-27.29, remainder_fraction=99.6371%, Lmin=-25.12, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=100, ncalls=519, regioncalls=4760, ndraw=40, logz=-27.26, remainder_fraction=99.6229%, Lmin=-25.09, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=101, ncalls=520, regioncalls=4800, ndraw=40, logz=-27.24, remainder_fraction=99.6156%, Lmin=-25.08, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=103, ncalls=522, regioncalls=4880, ndraw=40, logz=-27.21, remainder_fraction=99.6012%, Lmin=-25.06, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=104, ncalls=523, regioncalls=4920, ndraw=40, logz=-27.19, remainder_fraction=99.5937%, Lmin=-25.04, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=105, ncalls=524, regioncalls=4960, ndraw=40, logz=-27.18, remainder_fraction=99.5861%, Lmin=-25.03, Lmax=-16.30
10:18:00 [ultranest] [DEBUG] iteration=107, ncalls=526, regioncalls=5040, ndraw=40, logz=-27.14, remainder_fraction=99.5733%, Lmin=-25.02, Lmax=-16.30
10:18:01 [ultranest] [DEBUG] iteration=109, ncalls=528, regioncalls=5120, ndraw=40, logz=-27.11, remainder_fraction=99.5576%, Lmin=-24.99, Lmax=-16.30
10:18:01 [ultranest] [DEBUG] iteration=111, ncalls=531, regioncalls=5240, ndraw=40, logz=-27.08, remainder_fraction=99.5414%, Lmin=-24.97, Lmax=-16.30
10:18:01 [ultranest] [DEBUG] iteration=112, ncalls=532, regioncalls=5280, ndraw=40, logz=-27.07, remainder_fraction=99.5332%, Lmin=-24.97, Lmax=-16.30
10:18:01 [ultranest] [DEBUG] iteration=114, ncalls=535, regioncalls=5400, ndraw=40, logz=-27.04, remainder_fraction=99.5179%, Lmin=-24.91, Lmax=-16.30
10:18:01 [ultranest] [DEBUG] iteration=115, ncalls=537, regioncalls=5480, ndraw=40, logz=-27.02, remainder_fraction=99.5095%, Lmin=-24.90, Lmax=-16.30
10:18:02 [ultranest] [DEBUG] iteration=116, ncalls=538, regioncalls=5520, ndraw=40, logz=-27.00, remainder_fraction=99.5012%, Lmin=-24.90, Lmax=-16.30
10:18:02 [ultranest] [DEBUG] iteration=118, ncalls=540, regioncalls=5600, ndraw=40, logz=-26.97, remainder_fraction=99.4836%, Lmin=-24.89, Lmax=-16.30
10:18:02 [ultranest] [DEBUG] iteration=120, ncalls=543, regioncalls=5720, ndraw=40, logz=-26.94, remainder_fraction=99.4667%, Lmin=-24.87, Lmax=-16.30
10:18:02 [ultranest] [DEBUG] iteration=122, ncalls=545, regioncalls=5800, ndraw=40, logz=-26.92, remainder_fraction=99.4482%, Lmin=-24.81, Lmax=-16.30
10:18:02 [ultranest] [DEBUG] iteration=123, ncalls=546, regioncalls=5840, ndraw=40, logz=-26.90, remainder_fraction=99.4445%, Lmin=-24.80, Lmax=-16.30
10:18:03 [ultranest] [DEBUG] iteration=125, ncalls=548, regioncalls=5920, ndraw=40, logz=-26.87, remainder_fraction=99.4253%, Lmin=-24.75, Lmax=-16.30
10:18:03 [ultranest] [DEBUG] iteration=127, ncalls=550, regioncalls=6000, ndraw=40, logz=-26.84, remainder_fraction=99.4075%, Lmin=-24.72, Lmax=-16.30
10:18:03 [ultranest] [DEBUG] iteration=128, ncalls=551, regioncalls=6040, ndraw=40, logz=-26.83, remainder_fraction=99.3973%, Lmin=-24.72, Lmax=-16.30
10:18:03 [ultranest] [DEBUG] iteration=129, ncalls=552, regioncalls=6080, ndraw=40, logz=-26.81, remainder_fraction=99.3877%, Lmin=-24.72, Lmax=-16.30
10:18:03 [ultranest] [DEBUG] iteration=131, ncalls=554, regioncalls=6160, ndraw=40, logz=-26.78, remainder_fraction=99.3673%, Lmin=-24.71, Lmax=-16.30
